,glucose_normalized,glu_val_6-12,glu_val_1-12,glu_val_1-8
0,0.983542666796541,12,12,8
1,0.030132074992554145,6,1,1
2,0.3308819774542144,8,4,3
3,0.27204546226577203,7,4,3
4,0.36928661603492996,8,5,3
5,0.9719263740186598,12,12,8
6,0.03355893846320793,6,1,1
7,0.33849086833363035,8,5,3
8,0.2800196017473982,7,4,3
9,0.3541227241659087,8,5,3
10,0.969016937961704,12,12,8
11,0.02670525865301786,6,1,1
12,0.3241498110469045,8,4,3
13,0.27815426120554043,7,4,3
14,0.37104465788365465,8,5,3
15,0.9617861568741185,12,12,8
16,0.02981302295334154,6,1,1
17,0.2911229118343927,8,4,3
18,0.2680854540842854,7,4,3
19,0.3599885408374657,8,5,3
20,0.9871194264394049,12,12,8
21,0.015680240463751365,6,1,1
22,0.2830373876968764,7,4,3
23,0.2557010158633048,7,4,3
24,0.38223499639578135,8,5,4
25,0.9809492149194349,12,12,8
26,0.007697714077788223,6,1,1
27,0.32685232425976707,8,4,3
28,0.2477162680519392,7,3,2
29,0.37319990312034257,8,5,3
30,0.9971211402741953,12,12,8
31,0.007606474817710085,6,1,1
32,0.2757891755913291,7,4,3
33,0.25559752112044626,7,4,3
34,0.3798789290676354,8,5,4
35,1.0,13,13,9
36,0.0,6,1,1
37,0.28187646346861267,7,4,3
38,0.2650624108959189,7,4,3
39,0.3730134548681487,8,5,3
40,0.9784845182107019,12,12,8
41,0.013936527229607911,6,1,1
42,0.24896193332604832,7,3,2
43,0.27266315264505364,7,4,3
44,0.37113281922574326,8,5,3
45,0.9856386625819851,12,12,8
46,0.020956500267803498,6,1,1
47,0.3103206737604493,8,4,3
48,0.2696383872289948,7,4,3
49,0.39476930202351923,8,5,4
50,0.9748785229401081,12,12,8
51,0.011982514115883587,6,1,1
52,0.34919348407610407,8,5,3
53,0.26142778791807963,7,4,3
54,0.4100786800374708,8,5,4
55,0.9781168655749785,12,12,8
56,0.019943084224531518,6,1,1
57,0.3345599693417954,8,5,3
58,0.28507140730975306,7,4,3
59,0.3886811225121858,8,5,4
